人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
183,牧野 信一,45356,南風譜,新字旧仮名,,宮元淳一,門田裕志,公開,2010-02-17,牧野信一全集第四巻,筑摩書房,2002（平成14）年6月20日初版第1刷,2002（平成14）年6月20日初版第1刷
183,牧野 信一,52726,〔同腹異腹〕,新字旧仮名,,宮元淳一,門田裕志,公開,2011-07-12,牧野信一全集第一巻,筑摩書房,2002（平成14）年8月20日初版第1刷,
1310,高浜 虚子,51369,続俳諧師 ――文太郎の死――,旧字旧仮名,,青空文庫,酒井和郎,公開,2016-05-14,俳諧師・續俳諧師,岩波文庫、岩波書店,1952（昭和27）年8月25日第1刷,2010（平成22）年2月23日第3刷
311,宮本 百合子,3483,しようがない、だろうか？,新字新仮名,,柴田卓治,磐余彦,公開,2003-10-28,宮本百合子全集　第十六巻,新日本出版社,1986（昭和61）年3月20日第4刷,
148,夏目 漱石,2372,明治座の所感を虚子君に問れて,新字新仮名,,柴田卓治,大野晋,公開,1999-06-14,夏目漱石全集10,ちくま文庫、筑摩書房,1988（昭和63）年7月26日第1刷,
1566,柳田 国男,53104,木綿以前の事,新字新仮名,,Nana ohbe,川山隆,公開,2013-07-04,木綿以前の事,岩波文庫、岩波書店,2010（平成22）年9月6日第22刷,2010（平成22）年9月6日第22刷
183,牧野 信一,52826,「尾花」を読みて （久保田万太郎・作）,新字旧仮名,,宮元淳一,門田裕志,公開,2011-10-04,牧野信一全集第五巻,筑摩書房,2002（平成14）年7月20日初版第1刷,
106,北原 白秋,55787,とんぼの眼玉,新字旧仮名,,岡村和彦,きりんの手紙,公開,2022-01-25,白秋全集　25,岩波書店,1987（昭和62）年1月8日,1987（昭和62）年1月8日
1154,岸田 国士,44658,既往文化と新文化 ――某氏との談話――,新字旧仮名,,tatsuki,門田裕志,公開,2010-03-04,岸田國士全集25,岩波書店,1991（平成3）年8月8日,1991（平成3）年8月8日
1144,クラウフォード フランシス・マリオン,43472,世界怪談名作集 13 上床,新字新仮名,岡本 綺堂,小林繁雄、門田裕志,大久保ゆう,公開,2004-11-01,世界怪談名作集　下,河出文庫、河出書房新社,2002（平成14）年6月20日新装版初版,2002（平成14）年6月20日新装版初版
320,与謝野 寛,43481,満蒙遊記 附　満蒙の歌,新字旧仮名,,武田秀男,大野裕,公開,2016-12-07,満蒙遊記,大阪屋號書店,1930（昭和5）年5月17日,1930（昭和5）年5月17日
293,原 民喜,48441,椅子と電車,新字旧仮名,,蒋龍,小林繁雄,公開,2009-07-16,普及版　原民喜全集第一巻,芳賀書店,1966（昭和41）年2月15日,1966（昭和41）年2月15日
1693,山之口 貘,59528,歳末の質屋 都内に約一八〇〇店,新字新仮名,,浦山敦子,noriko saito,公開,2023-09-11,日本の名随筆　別巻18　質屋【底本画像有】,作品社,1992（平成4）年8月25日第1刷,1992（平成4）年8月25日第1刷
1154,岸田 国士,44511,プログラム,新字旧仮名,,tatsuki,門田裕志,公開,2009-11-10,岸田國士全集22,岩波書店,1990（平成2）年10月8日,1990（平成2）年10月8日
1475,小川 未明,53153,僧,新字新仮名,,門田裕志,坂本真一,公開,2020-07-21,文豪怪談傑作選　小川未明集　幽霊船,ちくま文庫、筑摩書房,2010（平成22）年5月25日第2刷,2010（平成22）年5月25日第2刷
906,豊島 与志雄,42400,蘇生,新字新仮名,,tatsuki,松永正敏,公開,2008-10-22,豊島与志雄著作集　第一巻（小説Ⅰ）,未来社,1967（昭和42）年6月20日第1刷,1967（昭和42）年6月20日第1刷
93,南方 熊楠,527,十二支考 02　兎に関する民俗と伝説,新字新仮名,,小林繁雄,曽我部真弓,公開,1999-07-05,十二支考（上）〔全2冊〕,岩波文庫、岩波書店,1997（平成9）年10月6日第10刷,1999（平成11）年1月14日第11刷
1763,佐藤 春夫,58793,芥川賞の人々,新字旧仮名,,えんどう豆,夏生ぐみ,公開,2018-01-16,定本　佐藤春夫全集　第25巻,臨川書店,2000（平成12）年6月10日初版,2000（平成12）年6月10日初版
1344,喜田 貞吉,49818,人身御供と人柱,新字新仮名,,川山隆,しだひろし,公開,2010-10-04,先住民と差別　喜田貞吉歴史民俗学傑作選,河出書房新社,2008（平成20）年1月30日初版,2008（平成20）年1月30日初版
1670,野村 胡堂,56368,銭形平次捕物控 101 お秀の父,新字新仮名,,特定非営利活動法人はるかぜ,noriko saito,公開,2019-06-04,銭形平次捕物控（十一）懐ろ鏡,嶋中文庫、嶋中書店,2005（平成17）年5月20日第1刷,2005（平成17）年5月20日第1刷
416,伊藤 野枝,56962,新らしき婦人の男性観,新字旧仮名,,酒井裕二,Butami,公開,2019-09-16,定本　伊藤野枝全集　第二巻　評論・随筆・書簡1――『青鞜』の時代,學藝書林,2000（平成12）年5月31日初版,2000（平成12）年5月31日初版
280,徳冨 蘆花,1708,謀叛論（草稿）,新字新仮名,,加藤恭子,小林繁雄,公開,2001-03-27,日本の名随筆　別巻92　哲学,作品社,,
448,江見 水蔭,46449,死剣と生縄,新字新仮名,,岡山勝美,門田裕志,公開,2006-11-19,怪奇・伝奇時代小説選集1　水鬼　他9編,春陽文庫、春陽堂書店,1999(平成11)年10月20日第1刷,1999(平成11)年10月20日第1刷
1154,岸田 国士,43847,花問答,新字旧仮名,,門田裕志,noriko saito,公開,2020-03-05,岸田國士全集　9,岩波書店,1990（平成2）年4月9日,1990（平成2）年4月9日
96,夢野 久作,2137,私の好きな読みもの,新字新仮名,,柴田卓治,小林徹,公開,2001-07-25,夢野久作全集11,ちくま文庫、筑摩書房,,
1166,中井 正一,46419,少年に文化を嗣ぐこゝろを,旧字新仮名,,鈴木厚司,染川隆俊,公開,2007-12-01,少年文學　圖書　第十四號　臨時増刊,岩波書店,1950（昭和25）年12月5日,1950（昭和25）年12月5日
35,太宰 治,295,メリイクリスマス,新字新仮名,,柴田卓治,石川友子,公開,2000-04-19,太宰治全集8,ちくま文庫、筑摩書房,,1998（平成10）年1月20日第2刷
134,佐左木 俊郎,721,猟奇の街,新字新仮名,,大野晋,吉田亜津美,公開,1999-07-17,恐怖城　他5編,春陽文庫、春陽堂書店,1995（平成7）年8月10日初版,1995（平成7）年8月10日初版
1248,佐藤 垢石,46816,ザザ虫の佃煮,新字新仮名,,門田裕志,仙酔ゑびす,公開,2007-06-28,垢石釣り随筆,つり人ノベルズ、つり人社,1992（平成4）年9月10日第1刷,1992（平成4）年9月10日第1刷
106,北原 白秋,48335,わが敬愛する人々に,新字旧仮名,,浦山敦子,noriko saito,公開,2009-06-20,日本の名随筆　別巻55　恋心,作品社,1995（平成7）年9月25日第1刷,1995（平成7）年9月25日第1刷
42,寺田 寅彦,42147,海陸風と夕なぎ,新字新仮名,,Cyobirin,佳代子,公開,2006-06-08,寺田寅彦全集　第三巻,岩波書店,1960（昭和35）年12月7日第1刷, 
162,若山 牧水,886,渓をおもふ,新字旧仮名,,砂場清隆,もりみつじゅんじ,公開,2000-07-26,日本の名随筆33　水,作品社,,
342,柴田 流星,2391,残されたる江戸,新字新仮名,,網迫、土屋隆,noriko saito,公開,2005-06-28,残されたる江戸,中公文庫、中央公論社,1990（平成2）年6月10日,1990（平成2）年6月10日
42,寺田 寅彦,1690,俳諧瑣談,新字新仮名,,門田裕志,浅原庸子,公開,2006-03-11,日本の名随筆　別巻25　俳句,作品社,1999（平成11）年11月20日第6刷,1995（平成7）年8月20日第4刷
1779,江戸川 乱歩,57521,目羅博士の不思議な犯罪,新字新仮名,,金城学院大学　電子書籍制作,まつもこ,公開,2019-11-12,江戸川乱歩全集　第8巻　目羅博士の不思議な犯罪,光文社文庫、光文社,2004（平成16）年6月20日初版1刷,2004（平成16）年6月20日初版1刷
908,坂本 竜馬,52025,手紙 113 慶応三年十月中旬　後藤象二郎あて,新字旧仮名,,Yanajin33,Hanren,公開,2010-11-13,龍馬の手紙、宮地佐一郎,講談社学術文庫、講談社,2008（平成20）年9月19日第7刷,2008（平成20）年9月19日第7刷
1224,久生 十蘭,46103,奥の海,新字新仮名,,佐野良二,伊藤時也,公開,2010-09-13,久生十蘭全集　Ⅱ,三一書房,1975（昭和50）年6月15日第1版第3刷,1974（昭和49）年4月30日第1版第2刷
1380,石川 欣一,50461,山を思う,新字新仮名,,富田晶子,雪森,公開,2018-08-04,山を思う,山渓山岳新書、山と渓谷社,1955（昭和30）年5月20日,1955（昭和30）年5月20日
293,原 民喜,4753,災厄の日,旧字旧仮名,,ジェラスガイ,門田裕志,公開,2002-09-21,日本の原爆文学1　原民喜,ほるぷ出版,1983（昭和58）年8月1日初版第1刷,
1475,小川 未明,53461,金魚売り,新字新仮名,,特定非営利活動法人はるかぜ,江村秀之,公開,2014-02-18,定本小川未明童話全集　5,講談社,1977（昭和52）年3月10日第1刷,1978（昭和53）年C第2刷　
81,宮沢 賢治,53440,〔こゝろの影を恐るなと〕,新字旧仮名,,junk,土屋隆,公開,2011-07-30,新修宮沢賢治全集　第六巻,筑摩書房,1980（昭和55）年2月15日初版第1刷,1985（昭和60）年2月25日初版第4刷
153,石川 啄木,43031,一利己主義者と友人との対話,新字新仮名,,青空文庫,鈴木厚司,公開,2004-09-11,石川啄木集（下）,新潮文庫、新潮社,1991（平成3）年3月5日48刷,1986（昭和61）年4月10日44刷
1668,西東 三鬼,55253,今日 02 今日,新字旧仮名,,kompass,noriko saito,公開,2018-04-01,現代日本文學大系　95　現代句集,筑摩書房,1977（昭和52）年5月20日初版第5刷,1977（昭和52）年5月20日初版第5刷
874,尾形 亀之助,3402,さびしい人生興奮,新字旧仮名,,高柳典子,鈴木厚司,公開,2006-10-05,尾形亀之助詩集,現代詩文庫、思潮社,1980（昭和55）年10月1日第3刷,1975（昭和50）年6月10日
42,寺田 寅彦,24423,郷土的味覚,新字新仮名,,Nana ohbe,松永正敏,公開,2004-04-12,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,
1341,永井 荷風,49654,十日の菊,新字新仮名,,門田裕志,阿部哲也,公開,2010-04-16,荷風随筆集（下）〔全2冊〕,岩波文庫、岩波書店,2007（平成19）年7月13日第23刷,1993（平成5）年5月6日第10刷
311,宮本 百合子,3162,日本の秋色 世相寸評,新字新仮名,,柴田卓治,米田進,公開,2003-07-30,宮本百合子全集　第十四巻,新日本出版社,1986（昭和61）年3月20日第5刷,
1030,堀 辰雄,47938,室生さんへの手紙,旧字旧仮名,,tatsuki,岡村和彦,公開,2013-03-22,堀辰雄作品集第五卷,筑摩書房,1982（昭和57）年9月30日初版第1刷,1982（昭和57）年9月30日初版第1刷
1095,坂口 安吾,42922,日映の思い出,新字新仮名,,tatsuki,宮元淳一,公開,2006-07-10,坂口安吾全集　04,筑摩書房,1998（平成10）年5月22日初版第1刷,1998（平成10）年5月22日初版第1刷
718,新渡戸 稲造,50745,東西相触れて,新字新仮名,,田中哲郎,ゆうき,公開,2010-09-12,新渡戸稲造論集,岩波文庫、岩波書店,2007（平成19）年5月16日第1刷,2007（平成19）年6月25日第2刷
1091,グリム ヤーコプ・ルートヴィッヒ・カール,59847,ブレーメンの音楽師,新字新仮名,矢崎 源九郎,sogo,チエコ,公開,2021-02-24,グリム童話集（1）,偕成社文庫、偕成社,2009（平成21）年6月49刷,2014（平成26）年12月51刷
800,水上 滝太郎,4660,山を想ふ,旧字旧仮名,,林幸雄,門田裕志,公開,2003-10-11,現代日本紀行文学全集　東日本編,ほるぷ出版,1976（昭和51）年8月1日初版,
154,田中 貢太郎,52270,一握の髪の毛,新字新仮名,,川山隆,門田裕志,公開,2012-06-26,日本怪談大全　第二巻　幽霊の館,国書刊行会,1995（平成7）年8月2日初版第1刷,1995（平成7）年8月2日初版第1刷
1095,坂口 安吾,45796,帆影,新字旧仮名,,tatsuki,伊藤時也,公開,2010-05-04,坂口安吾全集　01,筑摩書房,1999（平成11）年5月20日初版第1刷,1999（平成11）年5月20日初版第1刷
311,宮本 百合子,2970,作家の経験,新字新仮名,,柴田卓治,米田進,公開,2003-05-08,宮本百合子全集　第十三巻,新日本出版社,1986（昭和61）年3月20日第5刷,
52,紫式部 ,5039,源氏物語 24 胡蝶,新字新仮名,与謝野 晶子,上田英代,kumi,公開,2003-09-25,全訳源氏物語　中巻,角川文庫、角川書店,1994（平成6）年6月15日39版,2002（平成14）年1月15日44版
1475,小川 未明,53016,お化けとまちがえた話,新字新仮名,,特定非営利活動法人はるかぜ,江村秀之,公開,2014-02-09,定本小川未明童話全集　5,講談社,1977（昭和52）年3月10日第1刷,1978（昭和53）年C第2刷　
1095,坂口 安吾,45735,新らしき文学,新字新仮名,,高田農業高校生産技術科流通経済コース,小林繁雄,公開,2006-10-17,坂口安吾選集　第十巻エッセイ1,講談社,1982（昭和57）年8月12日第1刷,1982（昭和57）年8月12日第1刷
1670,野村 胡堂,56118,奇談クラブ〔戦後版〕 10 暴君の死,新字新仮名,,門田裕志,阿部哲也,公開,2015-03-30,野村胡堂伝奇幻想小説集成,作品社,2009（平成21）年6月30日第1刷,2009（平成21）年6月30日第1刷
111,佐々木 味津三,1483,老中の眼鏡,新字新仮名,,大野晋,noriko saito,公開,2004-11-17,小笠原壱岐守,講談社大衆文学館文庫、講談社,1997（平成9）年2月20日第1刷,1997（平成9）年2月20日第1刷
137,岩野 泡鳴,51867,泡鳴五部作 03 放浪,旧字旧仮名,,富田晶子,雪森,公開,2016-11-26,泡鳴五部作　下巻,新潮文庫、新潮社,1994（平成6）年1月15日3刷,1994（平成6）年1月15日3刷
121,新美 南吉,45100,光,新字旧仮名,,菅野朋子,noriko saito,公開,2011-01-29,日本児童文学大系　第二八巻,ほるぷ出版,1978（昭和53）年11月30日初刷,1978（昭和53）年11月30日初刷
42,寺田 寅彦,2443,笑い,新字新仮名,,（株）モモ,かとうかおり,公開,2003-06-16,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年5月15日第80刷,1997（平成9）年12月15日第81刷
1637,中野 鈴子,60987,許南麒の詩のように,新字新仮名,,津村田悟,かな　とよみ,公開,2022-11-17,中野鈴子全詩集,フェニックス出版,1980（昭和55）年4月30日初版,1980（昭和55）年4月30日初版
1154,岸田 国士,44580,作家山本人間有三,新字旧仮名,,tatsuki,門田裕志,公開,2007-12-13,岸田國士全集21,岩波書店,1990（平成2）年7月9日,1990（平成2）年7月9日
50,泉 鏡花,50777,春着,旧字旧仮名,,門田裕志,川山隆,公開,2011-09-26,鏡花全集　巻二十七,岩波書店,1988（昭和63）年11月2日第3刷,1976（昭和51）年1月6日第2刷 
1154,岸田 国士,44537,愛妻家の一例,新字旧仮名,,tatsuki,門田裕志,公開,2009-11-16,岸田國士全集22,岩波書店,1990（平成2）年10月8日,1990（平成2）年10月8日
906,豊島 与志雄,42558,文学への実感について,新字新仮名,,tatsuki,門田裕志,公開,2006-06-21,豊島与志雄著作集　第六巻（随筆・評論・他）,未来社,1967（昭和42）年11月10日第1刷,1967（昭和42）年11月10日第1刷
